2026-04-29 12:00:00 UTC,EUR,ARS,1744.7572
2026-04-30 12:00:00 UTC,EUR,ARS,1722.8134
2026-05-01 12:00:00 UTC,EUR,ARS,1731.5501
2026-05-04 12:00:00 UTC,EUR,ARS,1731.5501
2026-05-05 12:00:00 UTC,EUR,ARS,1737.5073
2026-05-06 12:00:00 UTC,EUR,ARS,1729.5131
2026-05-07 12:00:00 UTC,EUR,ARS,1727.9377
2026-05-08 12:00:00 UTC,EUR,ARS,1735.1911
2026-05-11 12:00:00 UTC,EUR,ARS,1748.7667
2026-05-12 12:00:00 UTC,EUR,ARS,1739.4824
2026-05-13 12:00:00 UTC,EUR,ARS,1722.8105
2026-05-14 12:00:00 UTC,EUR,ARS,1728.6997
2026-05-15 12:00:00 UTC,EUR,ARS,1720.4228
2026-05-18 12:00:00 UTC,EUR,ARS,1717.063
2026-05-19 12:00:00 UTC,EUR,ARS,1724.6408
2026-05-20 12:00:00 UTC,EUR,ARS,1720.6137
2026-05-21 12:00:00 UTC,EUR,ARS,1721.6972
2026-05-22 12:00:00 UTC,EUR,ARS,1711.4687
2026-05-25 12:00:00 UTC,EUR,ARS,1729.7413
2026-05-26 12:00:00 UTC,EUR,ARS,1728.0112
2026-05-27 12:00:00 UTC,EUR,ARS,1739.8631
2026-05-28 12:00:00 UTC,EUR,ARS,1739.1325
2026-05-29 12:00:00 UTC,EUR,ARS,1740.9752
2026-06-01 12:00:00 UTC,EUR,ARS,1745.3495
2026-06-02 12:00:00 UTC,EUR,ARS,1760.3126
2026-06-03 12:00:00 UTC,EUR,ARS,1757.6164
2026-06-04 12:00:00 UTC,EUR,ARS,1770.7777
2026-06-05 12:00:00 UTC,EUR,ARS,1768.8192
2026-06-08 12:00:00 UTC,EUR,ARS,1771.544
2026-06-09 12:00:00 UTC,EUR,ARS,1767.6103
2026-06-10 12:00:00 UTC,EUR,ARS,1763.1813
2026-06-11 12:00:00 UTC,EUR,ARS,1752.505
2026-06-12 12:00:00 UTC,EUR,ARS,1757.5858
2026-06-15 12:00:00 UTC,EUR,ARS,1752.5608
2026-06-16 12:00:00 UTC,EUR,ARS,1756.4357
2026-06-17 12:00:00 UTC,EUR,ARS,1768.1307
2026-06-18 12:00:00 UTC,EUR,ARS,1758.2304
2026-06-19 12:00:00 UTC,EUR,ARS,1762.2045
2026-06-22 12:00:00 UTC,EUR,ARS,1709.8389
2026-06-23 12:00:00 UTC,EUR,ARS,1770.2934
2026-06-24 12:00:00 UTC,EUR,ARS,1774.3006
2026-06-25 12:00:00 UTC,EUR,ARS,1780.2846
2026-06-26 12:00:00 UTC,EUR,ARS,1779.099
2026-06-29 12:00:00 UTC,EUR,ARS,1785.2538
2026-06-30 12:00:00 UTC,EUR,ARS,1792.9602
2026-07-01 12:00:00 UTC,EUR,ARS,1795.3058
2026-07-02 12:00:00 UTC,EUR,ARS,1796.4099
2026-07-03 12:00:00 UTC,EUR,ARS,1802.8305
2026-07-06 12:00:00 UTC,EUR,ARS,1810.901
2026-07-07 12:00:00 UTC,EUR,ARS,1801.9114
2026-07-08 12:00:00 UTC,EUR,ARS,1803.1652
2026-07-09 12:00:00 UTC,EUR,ARS,1800.9827
2026-07-10 12:00:00 UTC,EUR,ARS,1802.6383
2026-07-13 12:00:00 UTC,EUR,ARS,1749.595
2026-07-14 12:00:00 UTC,EUR,ARS,1789.2621
2026-07-15 12:00:00 UTC,EUR,ARS,1780.6883
2026-07-16 12:00:00 UTC,EUR,ARS,1794.5064
2026-07-17 12:00:00 UTC,EUR,ARS,1789.9494
2026-07-20 12:00:00 UTC,EUR,ARS,1734.0156
2026-07-21 12:00:00 UTC,EUR,ARS,1792.5561
2026-07-22 12:00:00 UTC,EUR,ARS,1786.0608
2026-07-23 12:00:00 UTC,EUR,ARS,1793.3673
2026-07-24 12:00:00 UTC,EUR,ARS,1795.6096
2026-07-27 12:00:00 UTC,EUR,ARS,1805.8719
2026-07-28 12:00:00 UTC,EUR,ARS,1804.0905
2026-07-29 12:00:00 UTC,EUR,ARS,1810.0517
2026-07-30 12:00:00 UTC,EUR,ARS,1817.7785
2026-07-31 12:00:00 UTC,EUR,ARS,1818.7558
2026-08-03 12:00:00 UTC,EUR,ARS,1762.2245
2026-08-04 12:00:00 UTC,EUR,ARS,1822.6105
2026-08-05 12:00:00 UTC,EUR,ARS,1829.3684
2026-08-06 12:00:00 UTC,EUR,ARS,1832.8057
2026-08-07 12:00:00 UTC,EUR,ARS,1832.0217
2026-08-10 12:00:00 UTC,EUR,ARS,1828.3935
2026-08-11 12:00:00 UTC,EUR,ARS,1833.86
2026-08-12 12:00:00 UTC,EUR,ARS,1824.3598
2026-08-13 12:00:00 UTC,EUR,ARS,1823.7429
2026-08-14 12:00:00 UTC,EUR,ARS,1823.7988
2026-08-17 12:00:00 UTC,EUR,ARS,1774.169
2026-08-18 12:00:00 UTC,EUR,ARS,1826.742
2026-08-19 12:00:00 UTC,EUR,ARS,1834.4282
2026-08-20 12:00:00 UTC,EUR,ARS,1852.6789
2026-08-21 12:00:00 UTC,EUR,ARS,1854.9405
2026-08-24 12:00:00 UTC,EUR,ARS,1857.2927
2026-08-25 12:00:00 UTC,EUR,ARS,1866.9969
2026-08-26 12:00:00 UTC,EUR,ARS,1870.7653
2026-08-27 12:00:00 UTC,EUR,ARS,1870.705
2026-08-28 12:00:00 UTC,EUR,ARS,1867.9819
2026-08-31 12:00:00 UTC,EUR,ARS,1841.0379
2026-09-01 12:00:00 UTC,EUR,ARS,1858.059
