timestamp_utc,send_currency,receive_currency,exchange_rate,interbank_rate
2026-06-18 12:00:00 UTC,EUR,ARS,1758.2304,N/A
2026-06-19 12:00:00 UTC,EUR,ARS,1762.2045,N/A
2026-06-22 12:00:00 UTC,EUR,ARS,1709.8389,N/A
2026-06-23 12:00:00 UTC,EUR,ARS,1770.2934,N/A
2026-06-24 12:00:00 UTC,EUR,ARS,1774.3006,N/A
2026-06-25 12:00:00 UTC,EUR,ARS,1780.2846,N/A
2026-06-26 12:00:00 UTC,EUR,ARS,1779.099,N/A
2026-06-29 12:00:00 UTC,EUR,ARS,1785.2538,N/A
2026-06-30 12:00:00 UTC,EUR,ARS,1792.9602,N/A
2026-07-01 12:00:00 UTC,EUR,ARS,1795.3058,N/A
2026-07-02 12:00:00 UTC,EUR,ARS,1796.4099,N/A
2026-07-03 12:00:00 UTC,EUR,ARS,1802.8305,N/A
2026-07-06 12:00:00 UTC,EUR,ARS,1810.901,N/A
2026-07-07 12:00:00 UTC,EUR,ARS,1801.9114,N/A
2026-07-08 12:00:00 UTC,EUR,ARS,1803.1652,N/A
2026-07-09 12:00:00 UTC,EUR,ARS,1800.9827,N/A
2026-07-10 12:00:00 UTC,EUR,ARS,1802.6383,N/A
2026-07-13 12:00:00 UTC,EUR,ARS,1749.595,N/A
2026-07-14 12:00:00 UTC,EUR,ARS,1789.2621,N/A
2026-07-15 12:00:00 UTC,EUR,ARS,1780.6883,N/A
2026-07-16 12:00:00 UTC,EUR,ARS,1794.5064,N/A
2026-07-17 12:00:00 UTC,EUR,ARS,1789.9494,N/A
2026-07-20 12:00:00 UTC,EUR,ARS,1734.0156,N/A
2026-07-21 12:00:00 UTC,EUR,ARS,1792.5561,N/A
2026-07-22 12:00:00 UTC,EUR,ARS,1786.0608,N/A
2026-07-23 12:00:00 UTC,EUR,ARS,1793.3673,N/A
2026-07-24 12:00:00 UTC,EUR,ARS,1795.6096,N/A
2026-07-27 12:00:00 UTC,EUR,ARS,1805.8719,N/A
2026-07-28 12:00:00 UTC,EUR,ARS,1804.0905,N/A
2026-07-29 12:00:00 UTC,EUR,ARS,1810.0517,N/A
2026-07-30 12:00:00 UTC,EUR,ARS,1817.7785,N/A
2026-07-31 12:00:00 UTC,EUR,ARS,1818.7558,N/A
2026-08-03 12:00:00 UTC,EUR,ARS,1762.2245,N/A
2026-08-04 12:00:00 UTC,EUR,ARS,1822.6105,N/A
2026-08-05 12:00:00 UTC,EUR,ARS,1829.3684,N/A
2026-08-06 12:00:00 UTC,EUR,ARS,1832.8057,N/A
2026-08-07 12:00:00 UTC,EUR,ARS,1832.0217,N/A
2026-08-10 12:00:00 UTC,EUR,ARS,1828.3935,N/A
2026-08-11 12:00:00 UTC,EUR,ARS,1833.86,N/A
2026-08-12 12:00:00 UTC,EUR,ARS,1824.3598,N/A
2026-08-13 12:00:00 UTC,EUR,ARS,1823.7429,N/A
2026-08-14 12:00:00 UTC,EUR,ARS,1823.7988,N/A
2026-08-17 12:00:00 UTC,EUR,ARS,1774.169,N/A
2026-08-18 12:00:00 UTC,EUR,ARS,1826.742,N/A
2026-08-19 12:00:00 UTC,EUR,ARS,1834.4282,N/A
2026-08-20 12:00:00 UTC,EUR,ARS,1852.6789,N/A
2026-08-21 12:00:00 UTC,EUR,ARS,1854.9405,N/A
2026-08-24 12:00:00 UTC,EUR,ARS,1857.2927,N/A
2026-08-25 12:00:00 UTC,EUR,ARS,1866.9969,N/A
2026-08-26 12:00:00 UTC,EUR,ARS,1870.7653,N/A
2026-08-27 12:00:00 UTC,EUR,ARS,1870.705,N/A
2026-08-28 12:00:00 UTC,EUR,ARS,1867.9819,N/A
2026-08-31 12:00:00 UTC,EUR,ARS,1841.0379,N/A
2026-09-01 12:00:00 UTC,EUR,ARS,1858.059,N/A
2026-09-01 13:24:16 UTC,EUR,ARS,1856.1994,N/A
2026-09-01 18:11:13 UTC,EUR,ARS,1850.4024,1753.06
